YEAR,TOURNAMENT NAME,GROUP,TEAM NAME,TEAM_ID,MATCH PLAYED,WIN,DRAW,LOSS,GF,GA,GD,POINTS,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP B,Yugoslavia,T-86,3,1,2,0,10,1,9,4,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP B,Brazil,T-9,3,1,2,0,3,0,3,4,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP B,Scotland,T-63,3,1,2,0,3,1,2,4,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP B,Zaire,T-87,3,0,0,3,0,14,-14,0,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP C,Netherlands,T-47,3,2,1,0,6,1,5,5,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP C,Sweden,T-73,3,1,2,0,3,0,3,4,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP C,Bulgaria,T-10,3,0,2,1,2,5,-3,2,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP C,Uruguay,T-82,3,0,1,2,1,6,-5,1,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP D,Poland,T-56,3,3,0,0,12,3,9,6,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP D,Argentina,T-3,3,1,1,1,7,5,2,3,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP D,Italy,T-40,3,1,1,1,5,4,1,3,,,,,,,,,
1974,1974 FIFA Men's World Cup,GROUP D,Haiti,T-32,3,0,0,3,2,14,-12,0,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP A,Peru,T-55,3,2,1,0,7,2,5,5,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP A,Netherlands,T-47,3,1,1,1,5,3,2,3,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP A,Scotland,T-63,3,1,1,1,5,6,-1,3,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP A,Iran,T-36,3,0,1,2,2,8,-6,1,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP B,Italy,T-40,3,3,0,0,6,2,4,6,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP B,Argentina,T-3,3,2,0,1,4,3,1,4,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP B,France,T-28,3,1,0,2,5,5,0,2,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP B,Hungary,T-34,3,0,0,3,3,8,-5,0,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP C,Poland,T-56,3,2,1,0,4,1,3,5,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP C,West Germany,T-85,3,1,2,0,6,0,6,4,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP C,Tunisia,T-77,3,1,1,1,3,2,1,3,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP C,Mexico,T-45,3,0,0,3,2,12,-10,0,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP D,Austria,T-5,3,2,0,1,3,2,1,4,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP D,Brazil,T-9,3,1,2,0,2,1,1,4,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP D,Spain,T-72,3,1,1,1,2,2,0,3,,,,,,,,,
1978,1978 FIFA Men's World Cup,GROUP D,Sweden,T-73,3,0,1,2,1,3,-2,1,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP A,Brazil,T-9,3,3,0,0,10,2,8,6,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP A,Soviet Union,T-71,3,1,1,1,6,4,2,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP A,Scotland,T-63,3,1,1,1,8,8,0,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP A,New Zealand,T-48,3,0,0,3,2,12,-10,0,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP B,England,T-27,3,3,0,0,6,1,5,6,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP B,France,T-28,3,1,1,1,3,2,1,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP B,Czechoslovakia,T-20,3,0,2,1,2,3,-1,2,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP B,Kuwait,T-44,3,0,1,2,2,7,-5,1,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP C,Belgium,T-6,3,2,0,1,3,2,1,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP C,Argentina,T-3,3,2,0,1,6,2,4,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP C,Hungary,T-34,3,1,0,2,12,6,6,2,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP C,El Salvador,T-26,3,0,0,3,1,12,-11,0,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP D,West Germany,T-85,3,2,0,1,6,3,3,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP D,Austria,T-5,3,2,0,1,3,3,0,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP D,Algeria,T-1,3,2,0,1,5,5,0,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP D,Chile,T-13,3,0,0,3,3,6,-3,0,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP E,Northern Ireland,T-51,3,1,2,0,2,1,1,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP E,Spain,T-72,3,1,1,1,3,3,0,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP E,Yugoslavia,T-86,3,1,1,1,2,2,0,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP E,Honduras,T-33,3,0,2,1,2,3,-1,2,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP F,Poland,T-56,3,1,2,0,5,1,4,4,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP F,Italy,T-40,3,0,3,0,2,2,0,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP F,Cameroon,T-11,3,0,3,0,1,1,0,3,,,,,,,,,
1982,1982 FIFA Men's World Cup,GROUP F,Peru,T-55,3,0,2,1,2,6,-4,2,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP A,Denmark,T-21,3,3,0,0,9,1,8,6,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP A,West Germany,T-85,3,1,1,1,3,4,-1,3,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP A,Uruguay,T-82,3,0,2,1,2,7,-5,2,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP A,Scotland,T-63,3,0,1,2,1,3,-2,1,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP B,Argentina,T-3,3,2,1,0,6,2,4,5,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP B,Italy,T-40,3,1,2,0,3,2,1,4,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP B,Bulgaria,T-10,3,0,2,1,2,3,-1,2,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP B,South Korea,T-70,3,0,1,2,4,8,-4,1,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP C,Morocco,T-46,3,1,2,0,3,1,2,4,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP C,England,T-27,3,1,1,1,3,1,2,3,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP C,Poland,T-56,3,1,1,1,1,3,-2,3,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP C,Portugal,T-57,3,1,0,2,2,4,-2,2,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP D,Brazil,T-9,3,3,0,0,5,0,5,6,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP D,Spain,T-72,3,2,0,1,5,2,3,4,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP D,Northern Ireland,T-51,3,0,1,2,2,6,-4,1,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP D,Algeria,T-1,3,0,1,2,1,5,-4,1,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP E,Mexico,T-45,3,2,1,0,4,2,2,5,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP E,Paraguay,T-54,3,1,2,0,5,3,2,4,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP E,Belgium,T-6,3,1,1,1,5,5,0,3,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP E,Iraq,T-37,3,0,0,3,1,5,-4,0,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP F,Soviet Union,T-71,3,2,1,0,9,1,8,5,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP F,France,T-28,3,2,1,0,5,1,4,5,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP F,Hungary,T-34,3,1,0,2,2,9,-7,2,,,,,,,,,
1986,1986 FIFA Men's World Cup,GROUP F,Canada,T-12,3,0,0,3,0,5,-5,0,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP A,Italy,T-40,3,3,0,0,4,0,4,6,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP A,Czechoslovakia,T-20,3,2,0,1,5,2,3,4,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP A,Austria,T-5,3,1,0,2,2,3,-1,2,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP A,United States,T-81,3,0,0,3,2,8,-6,0,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP B,Cameroon,T-11,3,2,0,1,3,2,1,4,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP B,Romania,T-60,3,1,1,1,2,2,0,3,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP B,Argentina,T-3,3,1,1,1,2,2,0,3,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP B,Soviet Union,T-71,3,1,0,2,4,5,-1,2,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP C,Brazil,T-9,3,3,0,0,4,0,4,6,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP C,Costa Rica,T-16,3,2,0,1,3,2,1,4,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP C,Scotland,T-63,3,1,0,2,2,3,-1,2,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP C,Sweden,T-73,3,0,0,3,3,7,-4,0,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP D,West Germany,T-85,3,2,1,0,10,3,7,5,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP D,Yugoslavia,T-86,3,2,0,1,4,3,1,4,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP D,Colombia,T-15,3,1,0,2,4,4,0,2,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP D,United Arab Emirates,T-80,3,0,0,3,2,10,-8,0,,,,,,,,,
